id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,imdb_popularity,YearGroup,IMDb Score Bins
ts88841,The School Nurse Files,SHOW,2020,TV-14,51,"['scifi', 'comedy', 'drama', 'fantasy']",['KR'],1,tt12879522,6.4,1147,16.646,2020,6
ts225102,Record of Youth,SHOW,2020,TV-14,73,"['drama', 'romance']",['KR'],1,tt12850322,7.3,2278,31.24,2020,6
ts223238,My Holo Love,SHOW,2020,TV-14,57,"['scifi', 'drama', 'romance']",['KR'],1,tt11058644,7.6,2401,32.084,2020,6
ts269442,The Surgeon's Cut,SHOW,2020,TV-14,50,['documentation'],[],1,tt13487106,8.5,1010,4.822,2020,8
ts190452,Stolen Away,SHOW,2020,TV-14,48,"['thriller', 'action', 'crime', 'drama']",['ES'],1,tt10064124,7.1,2314,11.356,2020,6
ts255418,Bad Boy Billionaires: India,SHOW,2020,TV-14,0,"['crime', 'documentation']",['XX'],1,tt12923630,7.9,3010,2.596,2020,6
ts218890,Drifting Dragons,SHOW,2020,TV-14,24,"['action', 'scifi', 'animation', 'fantasy']",['JP'],1,tt11418344,6,569,8.863,2020,6
ts224796,The Ghost Bride,SHOW,2020,TV-14,51,"['drama', 'thriller']","['MY', 'TW']",1,tt9690302,6.3,716,4.13,2020,6
ts250803,Say I Do,SHOW,2020,TV-14,55,['reality'],"['GB', 'US']",1,tt12540060,7.7,527,3.444,2020,6
ts214462,The Queen and the Conqueror,SHOW,2020,TV-14,46,"['history', 'drama']",['CO'],1,tt10348700,6.6,172,7.958,2020,6
ts224906,Find Yourself,SHOW,2020,TV-14,45,"['drama', 'romance']",['CN'],1,tt11569628,7.6,201,33.708,2020,6
ts224261,Nailed It! Germany,SHOW,2020,TV-14,35,['reality'],['DE'],1,tt11460744,5.7,100,3.934,2020,4
ts225708,Six Windows in the Desert,SHOW,2020,TV-14,21,"['drama', 'comedy', 'history', 'scifi']",['SA'],1,tt11874042,4.3,3074,1.4,2020,4
ts268997,Futmalls.com,SHOW,2020,TV-14,40,"['thriller', 'scifi']",['TW'],1,tt13652552,6.4,182,3.412,2020,6
ts221472,Valentino,SHOW,2020,TV-14,39,['comedy'],['EG'],1,tt11508212,5.2,213,2.902,2020,4
ts235689,J-Style Trip,SHOW,2020,TV-14,64,['reality'],"['CN', 'TW']",1,tt11942052,4.9,111,3.946,2020,4
ts236850,Children of Adam,SHOW,2020,TV-14,41,"['action', 'drama']",['LB'],1,tt12434912,7.8,170,3.074,2020,6
ts217231,Heartstopper,SHOW,2022,TV-14,28,"['drama', 'romance']",['GB'],1,tt10638036,8.9,28978,926.362,2020,8
ts314164,Tomorrow,SHOW,2022,TV-14,60,"['drama', 'action', 'comedy', 'fantasy']",['KR'],1,tt18926162,7.7,603,38.209,2020,6
ts321513,My Liberation Notes,SHOW,2022,TV-14,62,"['drama', 'romance']",['KR'],1,tt15146130,8.4,276,62.434,2020,8
ts302363,Twenty Five Twenty One,SHOW,2022,TV-14,76,"['drama', 'romance']",['KR'],1,tt17513352,8.7,4081,76.371,2020,8
ts220553,The Irregulars,SHOW,2021,TV-14,53,"['crime', 'drama', 'fantasy', 'scifi']",['GB'],1,tt10893694,5.9,14714,14.099,2020,4
ts328605,Midnight at the Pera Palace,SHOW,2022,TV-14,44,"['crime', 'drama', 'history']",['TR'],1,tt13317508,7.1,6624,6.78,2020,6
ts297483,Hometown Cha-Cha-Cha,SHOW,2021,TV-14,78,"['comedy', 'romance', 'drama']",['KR'],1,tt14518756,8.5,9987,34.738,2020,8
ts288087,Sophie: A Murder in West Cork,SHOW,2021,TV-14,55,"['crime', 'documentation', 'history']",['GB'],1,tt14681732,6.8,5093,3.62,2020,6
ts288744,The Sound of Magic,SHOW,2022,TV-14,69,"['drama', 'fantasy', 'music']",['KR'],1,tt14460684,8,982,53.301,2020,8
ts271604,Blue Period,SHOW,2021,TV-14,25,"['animation', 'drama']",['JP'],1,tt14115912,7.7,1712,17.658,2020,6
ts222864,Falling Into Your Smile,SHOW,2021,TV-14,44,"['drama', 'comedy', 'romance']",['CN'],1,tt11290960,8.4,2019,44.455,2020,8
ts255486,Godzilla Singular Point,SHOW,2021,TV-14,24,"['scifi', 'animation', 'action', 'thriller']",['JP'],1,tt13229964,6.5,1612,33.642,2020,6
